分類コード,区分名称,診療行為コード,診療行為,点数,総計,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
D000,尿中一般物質定性半定量検査,160000310,尿中一般物質定性半定量検査,26,10731196,913111,902244,874342,953416,940064,875183,897512,872121,904393,906576,829915,862319
D001,尿中特殊物質定性定量検査,160000410,尿蛋白,7,1040076,87647,85155,84838,92868,90062,80555,84885,85712,88813,87347,84433,87761
D001,尿中特殊物質定性定量検査,160001310,ＶＭＡ定性（尿）,9,704,76,72,61,56,62,45,64,45,55,50,54,64
D001,尿中特殊物質定性定量検査,160001410,Ｂｅｎｃｅ　Ｊｏｎｅｓ蛋白定性（尿）,9,11625,991,1034,1033,1088,935,895,991,892,904,986,926,950
D001,尿中特殊物質定性定量検査,160001710,尿グルコース,9,199496,17889,17077,17562,18021,17364,15552,15996,16099,15813,15964,15924,16235
D001,尿中特殊物質定性定量検査,160003550,Ｗａｔｓｏｎ－Ｓｃｈｗａｒｔｚ反応,17,48,0,0,0,0,0,0,0,0,0,0,21,16
D001,尿中特殊物質定性定量検査,160003650,Ｒｉｍｉｎｇｔｏｎ反応,17,0,0,0,0,0,0,0,0,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160003910,尿浸透圧,16,378655,30713,31537,31917,35264,36354,31509,31157,30611,31525,30960,28162,28946
D001,尿中特殊物質定性定量検査,160004110,Ｎ－アセチルグルコサミニダーゼ（ＮＡＧ）（尿）,41,204448,17303,16388,16547,18720,18201,16165,16994,16835,17256,17118,16049,16872
D001,尿中特殊物質定性定量検査,160004310,黄体形成ホルモン（ＬＨ）定性（尿）,72,73,0,0,0,0,0,0,10,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160004510,フィブリン・フィブリノゲン分解産物（ＦＤＰ）（尿）,72,4033,360,353,335,353,391,278,336,353,346,330,299,299
D001,尿中特殊物質定性定量検査,160004610,δアミノレブリン酸（δ－ＡＬＡ）（尿）,112,281,21,14,22,32,27,23,32,21,18,27,23,21
D001,尿中特殊物質定性定量検査,160004810,アルブミン定量（尿）,105,181405,15772,15280,15583,16418,15359,13700,14878,14767,14538,15516,14599,14995
D001,尿中特殊物質定性定量検査,160111710,ウロビリノゲン（尿）,16,320,25,29,34,31,22,21,22,30,31,27,25,23
D001,尿中特殊物質定性定量検査,160111810,先天性代謝異常症スクリーニングテスト（尿）,16,63,0,0,0,16,0,0,0,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160112010,アルブミン定性（尿）,49,12427,1138,1047,1038,1061,1024,961,967,972,1069,1126,1004,1020
D001,尿中特殊物質定性定量検査,160112110,ポルフォビリノゲン（尿）,191,304,28,20,29,43,23,27,32,21,20,26,18,17
D001,尿中特殊物質定性定量検査,160112210,ウロポルフィリン（尿）,108,271,23,21,22,34,28,21,28,18,25,15,14,22
D001,尿中特殊物質定性定量検査,160112310,コプロポルフィリン（尿）,139,264,23,14,19,34,28,18,27,14,28,15,17,27
D001,尿中特殊物質定性定量検査,160134350,ポリアミン（尿）,115,14,0,0,0,0,0,0,0,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160156710,ポルフィリン症スクリーニングテスト（尿）,17,12,0,0,0,0,0,0,0,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160157750,トランスフェリン（尿）,107,8296,749,698,676,750,669,568,669,733,679,729,667,709
D001,尿中特殊物質定性定量検査,160169250,４型コラーゲン（尿）,194,845,76,56,76,76,75,65,70,69,65,75,74,68
D001,尿中特殊物質定性定量検査,160176350,クレアチニン試験紙法（尿）（蛋白／クレアチニン比）,11,55964,4549,4632,4347,4902,4952,4437,4534,4489,4912,5117,4601,4492
D001,尿中特殊物質定性定量検査,160181950,ミオイノシトール（尿）,120,0,0,0,0,0,0,0,0,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160189250,Ｌ型脂肪酸結合蛋白（Ｌ－ＦＡＢＰ）（尿）,210,19914,1580,1424,1431,1804,1679,1567,1712,1734,1774,1809,1690,1710
D001,尿中特殊物質定性定量検査,160189950,総ヨウ素（尿）,191,1751,127,120,165,149,167,153,153,160,141,130,142,144
D001,尿中特殊物質定性定量検査,160209650,好中球ゼラチナーゼ結合性リポカリン（ＮＧＡＬ）（尿）,210,24992,2027,2058,2006,2239,2134,1968,2232,2153,2179,1998,2040,1958
D001,尿中特殊物質定性定量検査,160210610,シュウ酸（尿）,200,125,0,17,16,0,10,0,16,0,0,12,12,0
D002,尿沈渣（鏡検法）,160005010,尿沈渣（鏡検法）,27,4522736,384569,378539,366322,406188,400073,369523,378708,366516,381263,380850,348025,362160
D002-2,尿沈渣（フローサイトメトリー法）,160159550,尿沈渣（フローサイトメトリー法）,24,1852753,155186,153577,150897,166810,164289,150458,154366,151344,157044,156616,141895,150271
D003,糞便検査,160005510,糞便塗抹顕微鏡検査（虫卵、脂肪及び消化状況観察を含む。）,20,14036,1173,1249,1277,1201,1189,1132,1178,1153,1197,1154,1061,1072
D003,糞便検査,160005710,虫卵検出（集卵法）（糞便）,15,4049,339,370,361,406,356,303,356,332,286,328,287,325
D003,糞便検査,160006310,糞便中脂質,25,161,20,14,11,20,20,14,15,10,0,10,12,0
D003,糞便検査,160006410,虫体検出（糞便）,23,1137,63,62,81,79,147,103,103,92,77,106,102,122
D003,糞便検査,160006510,糞便中ヘモグロビン定性,37,340785,29761,29394,29450,30712,29241,26653,28271,27693,27777,28514,26661,26658
D003,糞便検査,160006710,虫卵培養（糞便）,40,3944,297,289,341,350,318,319,364,314,339,368,308,337
D003,糞便検査,160006810,糞便中ヘモグロビン,41,214071,18651,18304,18345,19256,18233,16647,17763,17815,17592,17704,16753,17008
D003,糞便検査,160112610,ウロビリン（糞便）,15,31,0,0,0,0,0,0,0,0,0,0,0,0
