分類コード,区分名称,診療行為コード,診療行為,点数,総計,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
D000,尿中一般物質定性半定量検査,160000310,尿中一般物質定性半定量検査,26,67663339,5879349,5604457,5668910,5938472,5599408,5492918,5768314,5558090,5737452,5616850,5386275,5412844
D001,尿中特殊物質定性定量検査,160000410,尿蛋白,7,2094306,171094,167736,181391,191763,179152,173106,179145,170823,175260,171944,163939,168953
D001,尿中特殊物質定性定量検査,160001310,ＶＭＡ定性（尿）,9,2234,207,173,166,190,149,166,178,231,217,169,194,194
D001,尿中特殊物質定性定量検査,160001410,Ｂｅｎｃｅ　Ｊｏｎｅｓ蛋白定性（尿）,9,11531,913,901,961,1065,901,1018,1037,972,1025,965,876,897
D001,尿中特殊物質定性定量検査,160001710,尿グルコース,9,491982,44884,41338,41232,41894,40539,39823,42195,40343,40831,40176,39489,39238
D001,尿中特殊物質定性定量検査,160003650,Ｒｉｍｉｎｇｔｏｎ反応,17,0,0,0,0,0,0,0,0,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160003750,Ｄｅａｎａｎｄ　Ｂａｒｎｅｓ反応,17,0,0,0,0,0,0,0,0,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160003910,尿浸透圧,16,82879,7368,6933,7656,8737,8314,6785,6645,6357,6187,5782,5723,6392
D001,尿中特殊物質定性定量検査,160004110,Ｎ－アセチルグルコサミニダーゼ（ＮＡＧ）（尿）,41,198881,16271,15847,17996,19486,18084,16945,17452,16329,16027,15275,14450,14719
D001,尿中特殊物質定性定量検査,160004310,黄体形成ホルモン（ＬＨ）定性（尿）,72,498808,41901,38918,43283,46272,40958,42499,44145,42681,39885,37434,39623,41209
D001,尿中特殊物質定性定量検査,160004510,フィブリン・フィブリノゲン分解産物（ＦＤＰ）（尿）,72,4597,347,386,397,557,462,380,404,337,345,356,286,340
D001,尿中特殊物質定性定量検査,160004610,δアミノレブリン酸（δ－ＡＬＡ）（尿）,112,253,27,12,34,25,26,21,18,20,19,18,18,15
D001,尿中特殊物質定性定量検査,160004810,アルブミン定量（尿）,105,2445437,215305,195753,205625,210946,193102,197939,210313,194738,201864,206385,201976,211491
D001,尿中特殊物質定性定量検査,160111710,ウロビリノゲン（尿）,16,2247,302,278,298,293,284,278,276,47,53,47,45,46
D001,尿中特殊物質定性定量検査,160111810,先天性代謝異常症スクリーニングテスト（尿）,16,62,0,0,0,0,0,0,0,0,11,0,0,0
D001,尿中特殊物質定性定量検査,160112010,アルブミン定性（尿）,49,345529,30300,27817,28953,29535,28240,27943,29745,28072,29556,28246,27843,29279
D001,尿中特殊物質定性定量検査,160112110,ポルフォビリノゲン（尿）,191,177,14,10,25,12,17,14,14,18,15,13,11,14
D001,尿中特殊物質定性定量検査,160112210,ウロポルフィリン（尿）,108,502,49,48,56,53,54,43,26,34,40,32,32,35
D001,尿中特殊物質定性定量検査,160112310,コプロポルフィリン（尿）,139,439,41,39,48,45,49,29,24,32,36,30,32,34
D001,尿中特殊物質定性定量検査,160134350,ポリアミン（尿）,115,10,0,0,0,0,0,0,0,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160156710,ポルフィリン症スクリーニングテスト（尿）,17,0,0,0,0,0,0,0,0,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160157750,トランスフェリン（尿）,107,4443,363,400,365,429,371,358,382,343,387,360,317,368
D001,尿中特殊物質定性定量検査,160169250,４型コラーゲン（尿）,194,2512,209,211,187,198,190,206,261,202,278,190,170,210
D001,尿中特殊物質定性定量検査,160176350,クレアチニン試験紙法（尿）（蛋白／クレアチニン比）,11,287056,24751,23229,24271,24872,23592,23358,24344,23317,24308,23686,23045,24283
D001,尿中特殊物質定性定量検査,160181950,ミオイノシトール（尿）,120,21,0,0,0,0,0,0,0,0,0,0,0,0
D001,尿中特殊物質定性定量検査,160189250,Ｌ型脂肪酸結合蛋白（Ｌ－ＦＡＢＰ）（尿）,210,78540,6825,6542,6676,7074,6409,6260,6787,6382,6723,6238,6205,6419
D001,尿中特殊物質定性定量検査,160189950,総ヨウ素（尿）,191,2637,251,246,237,240,206,185,231,201,204,201,211,224
D001,尿中特殊物質定性定量検査,160209650,好中球ゼラチナーゼ結合性リポカリン（ＮＧＡＬ）（尿）,210,1649,116,148,146,143,152,127,154,143,141,137,127,115
D001,尿中特殊物質定性定量検査,160210610,シュウ酸（尿）,200,184,0,0,0,0,0,18,33,40,16,19,14,14
